phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal hernia,12,4,"[0.02086, 0.02714, 0.02319, 0.03119]","[0.873, 0.885, 0.882, 1.33]","['DPB1_0301', 'DQB1_0201', 'DRB1_0301', 'DRB1_1201']",3
Abnormal involuntary movements,16,1,"[0.04489, 0.01545, 0.0365, 0.006266, 0.03633, 0.03097, 0.04303]","[1.458, 0.491, 0.801, 0.725, 1.227, 0.765, 1.598]","['A_2501', 'A_2601', 'DQA1_0101', 'DQB1_0501', 'DQB1_0602', 'DRB1_0101', 'DRB1_1201']",3
Abnormal posture,12,5,"[0.02211, 0.02204, 0.02314, 0.02969, 0.02674, 0.00682, 0.01774, 0.03581]","[1.604, 1.896, 2.446, 2.349, 1.548, 0.48, 2.022, 0.633]","['B_0801', 'B_1801', 'B_3503', 'B_3701', 'C_0701', 'DPA1_0201', 'DPA1_0202', 'DQA1_0301']",3
Acquired foot deformities,17,4,"[0.008508, 0.03274, 0.04171, 0.00323, 0.0006564, 0.01174]","[0.705, 0.807, 0.841, 1.241, 1.324, 1.608]","['B_3501', 'C_0401', 'DQA1_0101', 'DQA1_0301', 'DQB1_0302', 'DRB1_1201']",3
Acquired hemolytic anemias,18,8,"[0.02559, 0.03149, 0.03847, 0.009642, 0.02931, 0.006991, 0.04168]","[1.689, 1.434, 1.791, 0.158, 1.398, 0.293, 0.477]","['A_2902', 'B_0801', 'B_1402', 'B_5701', 'DQA1_0501', 'DQB1_0303', 'DRB1_0404']",3
Acute gastritis,18,4,"[0.03793, 0.0179, 0.04215]","[1.874, 2.003, 0.346]","['A_0201', 'A_0301', 'DPB1_0301']",3
Acute laryngitis and tracheitis,14,2,"[0.04439, 0.04437, 0.01438, 0.01417, 0.03808, 0.01225, 0.02321]","[0.546, 2.557, 0.516, 0.173, 0.546, 2.955, 0.505]","['B_0801', 'B_3901', 'C_0701', 'DPB1_0101', 'DQB1_0201', 'DQB1_0502', 'DRB1_0301']",3
Acute osteomyelitis,17,4,"[0.009903, 0.03585, 0.03984, 0.04345]","[1.593, 0.485, 1.462, 0.479]","['DQB1_0302', 'DQB1_0603', 'DRB1_0401', 'DRB1_1301']",3
Acute sinusitis,14,2,"[0.01307, 0.01338, 0.0148, 0.03327, 0.03268, 0.02018, 0.04259]","[0.861, 0.557, 1.254, 0.862, 0.788, 0.885, 1.366]","['A_0301', 'B_1401', 'B_5701', 'C_0401', 'C_0802', 'DQA1_0501', 'DQB1_0502']",3
Acute upper respiratory infections of multiple or unspecified sites,14,2,"[0.03541, 0.01484, 0.01493, 0.0373, 0.01048, 0.0055, 0.004897, 0.005953, 0.04865, 0.02253]","[0.907, 1.335, 1.247, 0.87, 1.298, 0.892, 0.873, 0.876, 0.76, 0.779]","['A_0301', 'A_3001', 'B_1302', 'DPB1_0101', 'DPB1_1001', 'DQA1_0501', 'DQB1_0201', 'DRB1_0301', 'DRB1_0901', 'DRB1_1104']",3
