phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abnormal function study of cardiovascular system,11,13,"[0.01657, 1.702e-05, 0.04785, 0.01708, 0.03877, 0.0132, 0.02598, 0.03188, 0.038, 0.02078, 0.03376, 0.01184, 0.01415, 0.009206, 0.02626, 0.01494]","[0.706, 3.012, 0.722, 0.444, 1.289, 1.601, 1.306, 1.724, 0.746, 1.343, 1.313, 1.416, 0.682, 0.637, 1.33, 1.362]","['A_0301', 'B_1401', 'B_4402', 'C_0102', 'C_0701', 'C_0802', 'DPA1_0103', 'DPB1_1301', 'DQA1_0101', 'DQA1_0201', 'DQB1_0201', 'DQB1_0202', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301', 'DRB1_0701']",4
Abnormal movement,16,18,"[0.002571, 0.04718, 0.01548, 0.02783, 0.03805, 0.04186, 0.00707, 0.04233, 0.03136]","[0.862, 0.846, 1.377, 1.308, 1.123, 1.237, 0.741, 1.121, 0.741]","['A_0201', 'B_3501', 'B_3503', 'DPB1_1001', 'DQB1_0201', 'DQB1_0503', 'DQB1_0604', 'DRB1_0301', 'DRB1_1104']",4
Abnormal results of function study of liver,14,18,"[0.04776, 0.01459, 0.02975, 0.03121, 0.01923, 0.002051, 0.0009635, 0.04289, 0.01986]","[1.302, 1.224, 0.807, 1.181, 1.204, 0.793, 1.614, 0.855, 1.437]","['A_6801', 'B_0801', 'B_4402', 'C_0701', 'DPA1_0201', 'DPB1_0401', 'DPB1_1101', 'DQA1_0301', 'DRB1_0801']",4
Abnormality of gait,16,18,"[0.006554, 0.02706, 0.006322, 0.04456, 0.01945]","[0.835, 1.226, 1.518, 1.317, 1.45]","['A_0201', 'A_1101', 'DPB1_1001', 'DQB1_0503', 'DRB1_1401']",4
Acute cystitis,16,13,"[0.002385, 0.001649, 0.03657, 0.02416, 0.04922]","[3.84, 5.307, 2.381, 3.312, 0.356]","['A_2501', 'B_1401', 'B_1801', 'B_3503', 'DQB1_0501']",4
Acute pancreatitis,15,11,"[0.02171, 0.002368, 0.01469, 0.0419, 0.01376, 0.03349]","[0.586, 1.452, 1.397, 0.629, 1.403, 1.474]","['DQA1_0103', 'DQA1_0301', 'DQB1_0302', 'DQB1_0603', 'DRB1_0401', 'DRB1_0404']",4
Acute prostatitis,10,13,"[0.04273, 0.02678, 0.009381, 0.00364, 0.02575, 0.03524]","[2.462, 0.352, 2.325, 4.271, 1.898, 0.37]","['A_2601', 'B_0801', 'B_1501', 'B_3801', 'DPB1_0201', 'DPB1_0402']",4
Acute renal failure,15,17,"[0.01368, 0.001302, 0.01216]","[1.122, 1.462, 1.125]","['DQB1_0201', 'DRB1_0103', 'DRB1_0301']",4
Adrenal hyperfunction,12,12,"[0.003208, 0.03623, 0.0349, 0.006419, 0.01299, 0.02811, 0.04218, 0.04516, 0.03402, 0.01312]","[1.816, 0.122, 0.59, 2.472, 1.606, 1.734, 0.595, 2.329, 0.601, 1.605]","['C_0602', 'DPA1_0202', 'DPB1_0201', 'DPB1_1001', 'DQA1_0201', 'DQB1_0303', 'DQB1_0501', 'DQB1_0502', 'DQB1_0602', 'DRB1_0701']",4
Adverse drug events and drug allergies,17,14,"[0.007866, 0.01519, 0.005636, 0.0422, 0.01031, 0.02445, 0.03448]","[1.595, 1.338, 0.716, 1.408, 0.789, 0.641, 1.167]","['A_3001', 'A_3201', 'B_3501', 'B_4901', 'C_0401', 'DPB1_0501', 'DRB1_1501']",4
