phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal pain,5,0,"[0.01049, 0.02773, 0.01696, 0.03242, 0.02983, 0.04308, 0.03493, 0.02264, 0.01873]","[1.112, 0.932, 0.928, 0.844, 0.931, 0.933, 1.206, 0.928, 1.23]","['A_1101', 'B_0702', 'C_0702', 'DPB1_1001', 'DQB1_0201', 'DQB1_0302', 'DRB1_0103', 'DRB1_0301', 'DRB1_0407']",1
Abnormal electrocardiogram [ECG] [EKG],8,3,"[0.01753, 0.03209, 0.01421, 0.03181, 0.01463, 0.02434, 0.01159, 0.04345, 0.04429]","[0.815, 0.586, 1.453, 1.326, 1.34, 0.742, 0.673, 1.187, 1.193]","['A_0301', 'A_2301', 'A_2501', 'A_6801', 'B_2705', 'B_4403', 'C_1601', 'DQB1_0302', 'DRB1_0101']",1
Abnormal results of function study of thyroid,9,2,"[0.008909, 0.01666, 0.001409, 0.04607]","[2.261, 2.581, 3.549, 2.517]","['A_6801', 'C_0704', 'DPB1_1701', 'DRB1_0103']",1
Abnormal serum enzyme levels,1,5,"[0.02817, 0.04419, 0.04264, 0.005867, 0.04771, 0.03681]","[1.465, 1.782, 0.625, 1.807, 0.733, 0.123]","['A_2902', 'B_3901', 'B_5101', 'B_5501', 'C_0401', 'C_1402']",1
Abnormal sputum,4,3,"[0.001363, 0.01836]","[2.081, 1.846]","['A_3001', 'B_3901']",1
Abnormal tumor markers,5,0,"[0.02737, 0.003445, 0.04716, 0.03352]","[0.368, 1.518, 0.677, 1.38]","['A_3201', 'DQA1_0102', 'DRB1_0401', 'DRB1_1501']",1
Acne,8,1,"[0.04658, 0.03903, 0.01481, 0.04867, 0.04895, 0.01965, 0.02139, 0.02392]","[1.598, 1.857, 1.752, 0.72, 0.511, 0.69, 1.579, 1.466]","['A_2601', 'A_3001', 'B_1302', 'C_0501', 'DQA1_0401', 'DQB1_0501', 'DQB1_0604', 'DRB1_1101']",1
Acquired absence of breast,1,6,"[0.01144, 0.01952, 0.04943, 0.02732, 0.02286, 0.02315, 0.01909, 0.03942, 0.01089, 0.01108, 0.04306, 0.03973]","[1.555, 0.64, 1.357, 0.639, 1.294, 1.541, 1.665, 1.287, 0.73, 1.602, 1.282, 1.431]","['A_2902', 'B_1501', 'B_4001', 'C_0303', 'DPA1_0103', 'DPA1_0202', 'DPB1_0501', 'DQB1_0201', 'DQB1_0301', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",1
Acquired coagulation factor deficiency,2,0,"[0.00857, 0.0006253, 0.0004419, 0.03915, 0.01768]","[2.639, 5.06, 4.655, 0.293, 0.51]","['A_2902', 'B_3901', 'B_4901', 'C_0602', 'DPB1_0401']",1
Acquired deformities of finger,1,5,[0.01031],[2.057],['A_0101'],1
Acquired toe deformities,1,0,"[0.02547, 0.03584, 0.01414, 0.00726, 0.04453, 0.0004123, 0.0446, 0.04569]","[1.634, 0.757, 1.44, 1.347, 0.757, 1.538, 0.751, 0.437]","['DPB1_0501', 'DQA1_0101', 'DQA1_0103', 'DQA1_0301', 'DQB1_0201', 'DQB1_0302', 'DQB1_0501', 'DRB1_1104']",1
Acute bronchitis and bronchiolitis,5,4,"[0.02516, 3.452e-05, 0.0003915, 0.03274, 0.02842, 0.04925, 0.01311, 0.03514, 0.03642, 0.02245, 0.04042, 0.02782]","[0.689, 1.875, 1.558, 1.471, 1.255, 1.162, 1.382, 1.428, 1.425, 1.168, 1.167, 1.162]","['A_2601', 'A_3001', 'B_1302', 'B_4002', 'C_0202', 'C_0602', 'DPB1_0501', 'DPB1_1401', 'DPB1_1701', 'DQA1_0201', 'DQB1_0202', 'DRB1_0701']",1
Adrenal cortical steroids causing adverse effects in therapeutic use,3,4,"[0.03878, 0.01336, 0.03263, 0.02963, 0.009126]","[0.626, 1.88, 0.546, 0.567, 2.214]","['A_0301', 'B_1801', 'C_0401', 'DPB1_0301', 'DPB1_1101']",1
Adult failure to thrive,3,4,"[0.0419, 0.01716, 0.02071, 0.01023]","[1.55, 1.482, 1.604, 1.924]","['A_2501', 'C_0202', 'DPB1_1101', 'DRB1_1201']",1
Alcoholic liver damage,4,7,"[0.01265, 0.01971, 0.01471, 0.01176, 0.01149, 0.01492, 0.04669, 0.02449, 0.02016]","[1.527, 1.674, 0.491, 1.614, 0.165, 0.568, 1.467, 0.646, 2.348]","['A_0101', 'B_3501', 'C_0304', 'C_0401', 'C_1203', 'DPB1_0201', 'DPB1_0401', 'DQB1_0301', 'DRB1_0103']",1
Allergic conjunctivitis,2,2,"[0.02074, 0.03726]","[1.465, 0.738]","['B_5101', 'DPB1_0301']",1
"Allergies, other",1,3,"[0.02605, 0.01736]","[0.523, 0.45]","['DQA1_0101', 'DQB1_0501']",1
Anal and rectal conditions,1,5,"[0.01554, 2.949e-05, 0.02286]","[1.527, 2.233, 0.698]","['B_5501', 'DRB1_0103', 'DRB1_1101']",1
Anaphylactic shock NOS,1,3,"[0.04603, 0.01229]","[0.653, 2.701]","['A_0201', 'B_3503']",1
Anatomical abnormatilies of kidney and ureters,6,3,[0.004084],[2.101],['A_3101'],1
Anomalous atrioventricular excitation,0,5,"[0.009773, 0.00681, 0.006085, 0.01525, 0.03738]","[1.931, 2.933, 1.895, 0.546, 1.633]","['B_1501', 'B_3701', 'C_0602', 'DQA1_0102', 'DRB1_0101']",1
Anterior pituitary disorders,2,3,"[0.02896, 0.04808]","[0.611, 1.753]","['DPA1_0201', 'DPA1_0202']",1
Anticoagulants causing adverse effects,0,1,"[0.04588, 0.004339, 0.02972, 0.03597, 0.006544, 0.02119]","[2.395, 4.469, 0.208, 2.362, 4.165, 0.253]","['A_3101', 'B_1401', 'C_0602', 'C_0802', 'C_1402', 'DPB1_0301']",1
Antineoplastic and immunosuppressive drugs causing adverse effects,1,3,"[0.02396, 0.03067, 0.04649, 0.03375]","[1.334, 0.543, 0.698, 1.195]","['A_2902', 'C_0704', 'DPA1_0202', 'DQB1_0602']",1
Anxiety disorder,6,1,"[0.01264, 0.01282, 0.002302, 0.04167, 0.03905, 0.02148, 0.001696, 0.03011, 0.009521, 0.002592, 0.04358]","[0.712, 0.875, 1.178, 1.117, 1.259, 0.816, 0.848, 1.223, 1.237, 0.853, 1.164]","['A_2301', 'B_0801', 'B_4402', 'C_0501', 'C_0704', 'C_1601', 'DQB1_0201', 'DQB1_0503', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",1
Anxiety disorders,6,1,"[0.0337, 0.003048, 0.0377, 0.04887, 0.009191, 0.00102, 0.0005484, 0.001552, 0.005153]","[0.904, 1.153, 1.246, 1.101, 1.111, 0.858, 1.286, 0.862, 1.205]","['B_0801', 'B_4402', 'B_4901', 'C_0501', 'DQA1_0102', 'DQB1_0201', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",1
Arthropathy associated with neurological disorders,8,3,"[0.02872, 0.01407, 0.02121, 0.03215, 0.02424, 0.01676, 0.01599, 0.03395]","[0.276, 2.512, 2.19, 0.215, 0.383, 0.459, 0.407, 0.431]","['A_1101', 'A_2501', 'A_6801', 'B_3501', 'C_0401', 'DQA1_0101', 'DQB1_0501', 'DRB1_0101']",1
Arthropathy associated with other disorders classified elsewhere,8,3,"[0.02374, 0.03205, 0.03256, 0.03114, 0.0195, 0.04445, 0.02554]","[0.354, 2.121, 1.934, 0.333, 0.442, 0.526, 2.188]","['A_1101', 'A_2501', 'A_6801', 'B_3501', 'C_0401', 'DRB1_0101', 'DRB1_0801']",1
Ascites (non malignant),1,5,"[0.01108, 0.01601, 0.01618, 0.03825, 0.04782, 0.044, 0.02273]","[0.459, 1.586, 1.597, 0.642, 0.676, 0.63, 1.537]","['A_3001', 'B_3901', 'B_4002', 'B_5501', 'DPB1_0601', 'DPB1_1001', 'DQB1_0502']",1
Asthma with exacerbation,4,3,"[0.02025, 0.04948, 0.04663, 0.029]","[1.652, 0.741, 0.136, 1.344]","['A_3101', 'B_0702', 'B_3801', 'DPB1_0201']",1
