phewas_string,x,y,p_values,odds_ratios,snps,cluster
Abdominal aortic aneurysm,14,9,"[0.01186, 0.03628, 0.005378, 0.04253, 0.001109, 0.01986, 0.04649, 0.004331, 0.03399, 0.02409, 0.03598]","[0.35, 1.783, 0.572, 1.72, 0.568, 1.355, 0.79, 0.685, 0.653, 0.495, 0.504]","['A_2501', 'B_3503', 'B_4001', 'B_4901', 'C_0304', 'C_0602', 'DPA1_0103', 'DPA1_0201', 'DPB1_0101', 'DQA1_0401', 'DQB1_0402']",0
Abnormal coagulation profile,9,11,"[0.02515, 0.02392, 0.0267, 0.04502, 0.02709]","[0.727, 0.725, 1.403, 0.712, 1.503]","['A_0301', 'B_0702', 'B_1501', 'C_0401', 'C_1601']",0
Abnormal glucose,9,13,"[0.03115, 0.01602, 0.03155, 0.03172, 0.04546, 0.0382]","[0.862, 0.614, 0.874, 1.145, 1.142, 1.14]","['B_0801', 'B_4901', 'C_0701', 'DQA1_0201', 'DRB1_0401', 'DRB1_0701']",0
Abnormal heart sounds,10,5,"[0.002022, 0.01376, 0.03852, 0.02194, 0.01691, 0.01249, 0.0182, 0.0142, 0.02471, 0.01184]","[1.52, 0.803, 1.293, 0.82, 1.292, 1.204, 0.709, 0.802, 1.311, 0.799]","['A_3101', 'B_0702', 'C_0202', 'C_0702', 'DPB1_0101', 'DQA1_0501', 'DQB1_0303', 'DQB1_0602', 'DRB1_1302', 'DRB1_1501']",0
Abnormal weight gain,9,13,"[0.005494, 0.03745, 0.0378, 0.01558, 0.0314]","[1.53, 1.826, 0.743, 0.658, 1.857]","['A_1101', 'B_3801', 'DQA1_0101', 'DRB1_0101', 'DRB1_0103']",0
Abnormality of red blood cells,9,11,"[0.03123, 0.01686]","[0.416, 3.494]","['C_0702', 'DRB1_0103']",0
Absent or infrequent menstruation,10,11,"[0.01261, 0.003122, 0.00721, 0.03085, 0.03518, 0.01276, 0.04194, 0.04866]","[2.526, 2.325, 1.717, 1.589, 0.638, 1.885, 0.648, 1.614]","['A_3001', 'B_1302', 'B_1501', 'C_0303', 'DQB1_0201', 'DQB1_0604', 'DRB1_0301', 'DRB1_1302']",0
Acquired hypothyroidism,11,5,"[0.0465, 0.04175, 0.03426, 0.0007357, 0.03094, 0.01196, 0.03529, 0.01536]","[1.79, 0.497, 0.62, 2.453, 1.802, 1.987, 0.344, 0.332]","['A_2601', 'B_3501', 'DPB1_0402', 'DPB1_0601', 'DQA1_0401', 'DQB1_0402', 'DQB1_0604', 'DRB1_1302']",0
Actinic keratosis,9,10,"[0.00605, 0.02978, 0.0299, 0.04824, 0.00125]","[0.547, 0.76, 0.748, 0.876, 1.605]","['DPB1_1701', 'DQA1_0401', 'DQB1_0402', 'DRB1_0401', 'DRB1_0407']",0
Acute and subacute necrosis of liver,6,8,"[0.03616, 0.008744, 0.04784, 0.02006, 0.002558, 0.005829, 0.0002533, 0.04408, 0.0005113, 0.03146]","[0.632, 1.799, 1.541, 1.671, 2.192, 1.81, 2.21, 0.555, 2.13, 0.534]","['A_0201', 'B_0801', 'C_0701', 'DPA1_0201', 'DPB1_0101', 'DQA1_0501', 'DQB1_0201', 'DQB1_0602', 'DRB1_0301', 'DRB1_1501']",0
Acute posthemorrhagic anemia,9,11,"[0.01728, 0.0004477, 0.02571, 0.00197]","[1.139, 1.391, 0.649, 1.307]","['DQB1_0301', 'DQB1_0604', 'DRB1_0901', 'DRB1_1302']",0
Acute pulmonary heart disease,9,9,"[0.02428, 0.006293]","[1.632, 1.479]","['B_4901', 'DRB1_1302']",0
Acute reaction to stress,10,8,"[0.04332, 0.043]","[0.231, 1.942]","['C_0401', 'DPB1_0301']",0
Alcohol-related disorders,10,8,"[0.02166, 0.01207, 0.04975, 0.006552]","[1.605, 0.568, 1.226, 0.254]","['A_2301', 'C_1203', 'DPB1_0401', 'DPB1_1301']",0
Alcoholism,10,8,"[0.03358, 0.01268, 0.03313, 0.02461]","[1.665, 0.491, 0.739, 0.271]","['A_2301', 'C_1203', 'DPB1_0201', 'DPB1_1301']",0
Allergy/adverse effect of penicillin,9,4,"[0.03485, 0.01792, 0.008973]","[2.155, 2.785, 2.588]","['B_2705', 'B_5501', 'C_0102']",0
Alopecia,9,10,"[0.009478, 0.03937]","[0.308, 0.663]","['C_0202', 'DRB1_0401']",0
Alteration of consciousness,10,8,[0.03177],[1.322],['DPB1_1101'],0
Althete's foot,12,8,"[0.001061, 0.0228, 0.04854, 0.003524, 0.00402, 0.02465, 0.01154, 0.04499]","[2.707, 1.937, 0.404, 2.961, 2.303, 0.586, 1.859, 1.958]","['A_2601', 'B_2705', 'B_3501', 'B_3701', 'C_0102', 'DPA1_0103', 'DPB1_0401', 'DQA1_0401']",0
Alzheimer's disease,10,8,"[0.0283, 0.03625, 0.04953, 0.04092]","[0.275, 0.501, 0.551, 0.3]","['B_1302', 'B_1801', 'B_5101', 'C_1502']",0
Anemia in chronic kidney disease,8,7,"[0.02097, 0.04733, 0.04691, 0.02281, 0.004293, 0.03804, 0.03721, 0.04982]","[0.506, 0.557, 1.286, 0.618, 1.304, 1.24, 1.67, 1.226]","['A_2601', 'B_1302', 'B_1501', 'C_0202', 'DQA1_0501', 'DQB1_0201', 'DRB1_0103', 'DRB1_0301']",0
Anemia in neoplastic disease,9,11,"[0.006531, 0.02454, 0.02874]","[0.536, 0.712, 0.538]","['A_2301', 'DPA1_0202', 'DQB1_0502']",0
Anemia of chronic disease,9,11,"[0.02576, 0.01052, 0.04607, 0.01065, 0.01718, 0.04896]","[0.744, 0.75, 1.137, 0.84, 0.763, 0.766]","['A_2601', 'A_3201', 'C_0304', 'C_0401', 'DPA1_0202', 'DPB1_0501']",0
Antisocial/borderline personality disorder,9,5,"[0.04186, 0.02314, 0.02809, 0.0403, 0.03915]","[2.278, 1.81, 1.811, 2.044, 1.747]","['A_3101', 'DQA1_0102', 'DQB1_0602', 'DRB1_0404', 'DRB1_1501']",0
Aortic aneurysm,14,9,"[0.01674, 0.04457, 0.008854, 0.01587, 0.0376, 0.04755, 0.02974]","[0.506, 0.743, 0.712, 1.291, 0.808, 0.616, 1.351]","['A_2501', 'B_4001', 'C_0304', 'C_0602', 'DPA1_0201', 'DQB1_0402', 'DRB1_1302']",0
Aphasia,9,6,"[0.0343, 0.03364, 0.01583, 0.004905, 0.03138, 0.03805, 0.006463, 0.0366]","[1.388, 1.55, 1.444, 2.206, 0.709, 1.381, 2.359, 1.381]","['B_0702', 'B_4403', 'C_0702', 'DPB1_1001', 'DQA1_0301', 'DQB1_0602', 'DRB1_0103', 'DRB1_1501']",0
Aphasia/speech disturbance,9,6,"[0.03207, 0.01754, 0.02292, 0.04648, 0.008731, 0.01938, 0.03084, 0.04722, 0.0401]","[0.744, 1.556, 1.25, 0.439, 1.286, 1.603, 0.812, 1.22, 1.229]","['A_2402', 'A_2501', 'B_0702', 'B_3503', 'C_0702', 'DPB1_1001', 'DQA1_0301', 'DQB1_0201', 'DRB1_0301']",0
Appendiceal conditions,9,5,"[0.02678, 0.03518, 0.004787, 0.04954, 0.03754, 0.02604]","[1.861, 1.39, 1.519, 1.368, 1.428, 1.419]","['A_2501', 'DPA1_0201', 'DQA1_0102', 'DQB1_0602', 'DRB1_0101', 'DRB1_1501']",0
Appendicitis,9,5,"[0.02481, 0.04574, 0.005928, 0.04019]","[0.496, 2.076, 1.528, 1.4]","['B_4001', 'DPB1_1401', 'DQA1_0102', 'DRB1_1501']",0
Arterial embolism and thrombosis of lower extremity artery,11,7,"[0.01725, 0.02712, 0.04017, 0.04228, 0.005559, 0.00245, 0.006458, 0.001862, 0.02174, 0.04793, 0.02905, 0.002523, 0.00364, 0.0445]","[2.166, 1.802, 0.485, 0.488, 0.408, 1.966, 1.916, 2.335, 0.461, 1.57, 0.277, 1.963, 3.176, 0.307]","['A_3201', 'B_1501', 'B_4402', 'C_0501', 'DQA1_0101', 'DQA1_0201', 'DQB1_0202', 'DQB1_0303', 'DQB1_0501', 'DQB1_0602', 'DQB1_0603', 'DRB1_0701', 'DRB1_0901', 'DRB1_1301']",0
Atherosclerosis,8,9,"[0.03067, 0.02084, 0.02307, 0.0251, 0.04784, 0.01757, 0.01932, 0.03602, 0.03082]","[1.151, 1.219, 0.817, 1.298, 1.151, 1.552, 1.166, 0.86, 0.858]","['A_0101', 'A_1101', 'A_2402', 'A_6801', 'B_0801', 'B_1401', 'C_0701', 'DQB1_0602', 'DRB1_1501']",0
Atherosclerosis of aorta,8,6,"[0.02108, 0.03488, 0.005309, 0.04884, 0.04821, 0.01315]","[1.583, 2.298, 1.965, 1.44, 1.436, 2.096]","['A_1101', 'B_1401', 'C_0102', 'C_0602', 'DQB1_0202', 'DRB1_1104']",0
Atherosclerosis of native arteries of the extremities with intermittent claudication,8,9,"[0.01004, 0.004679, 0.04349, 0.02776, 0.02795, 0.02757]","[1.334, 0.608, 1.277, 1.611, 0.73, 1.311]","['A_0101', 'A_2402', 'B_0801', 'B_1302', 'DPB1_0402', 'DRB1_0401']",0
Atherosclerosis of native arteries of the extremities with ulceration or gangrene,13,9,"[0.01312, 0.02928, 0.02008]","[1.596, 1.533, 2.097]","['DPB1_0201', 'DQB1_0302', 'DRB1_0801']",0
Atherosclerosis of the extremities,8,9,"[0.0003812, 0.01557, 0.006504, 0.02042, 0.003477, 0.03684, 0.008198, 0.04546, 0.01473, 0.04113, 0.002602, 0.03236]","[1.358, 0.738, 1.29, 0.703, 1.291, 0.832, 1.249, 1.204, 1.481, 0.817, 1.331, 1.452]","['A_0101', 'A_2402', 'B_0801', 'B_3501', 'C_0701', 'DQA1_0102', 'DQA1_0301', 'DQB1_0201', 'DQB1_0402', 'DQB1_0602', 'DRB1_0401', 'DRB1_0801']",0
Atopic/contact dermatitis due to other or unspecified,10,4,"[0.007125, 0.04844, 0.005239, 0.0004807, 0.00942, 0.0007269, 0.002261, 0.00639, 0.0007808]","[0.838, 1.265, 1.195, 0.794, 1.156, 1.233, 0.806, 0.814, 1.232]","['A_0301', 'A_2601', 'B_0801', 'DQA1_0101', 'DQA1_0501', 'DQB1_0201', 'DQB1_0501', 'DRB1_0101', 'DRB1_0301']",0
Atrial flutter,9,9,"[0.01785, 0.02285, 0.03929, 0.009032, 0.01179, 0.004127, 0.03106, 0.02721, 0.02687, 0.02609]","[1.415, 0.438, 0.423, 1.783, 1.646, 1.453, 0.791, 1.517, 0.799, 1.338]","['A_3201', 'B_3801', 'B_3901', 'B_4002', 'B_4901', 'C_0202', 'C_0501', 'C_0704', 'DQB1_0501', 'DRB1_1302']",0
Atrioventricular [AV] block,9,9,"[0.04762, 0.001434, 0.003854, 0.04464]","[1.408, 1.443, 0.771, 1.304]","['A_2501', 'DPB1_0101', 'DQB1_0301', 'DRB1_1302']",0
"Atrioventricular block, complete",10,6,"[0.01589, 0.001852, 0.0488]","[1.419, 0.697, 1.355]","['DPB1_0101', 'DQB1_0301', 'DQB1_0303']",0
Autism,6,7,"[0.02323, 0.003841, 0.03484]","[1.756, 2.617, 1.73]","['B_3501', 'B_5501', 'DQB1_0303']",0
Benign mammary dysplasias,8,5,"[0.01699, 0.01036, 0.01764, 0.04478, 0.01719, 0.04265]","[1.261, 1.675, 1.6, 1.379, 1.603, 0.847]","['A_2402', 'A_3001', 'B_3801', 'DPB1_1101', 'DPB1_1401', 'DQB1_0301']",0
Benign neoplasm of ovary,9,9,"[0.04102, 0.0202, 0.002053, 0.03578, 0.03232, 0.02093]","[2.104, 0.481, 2.933, 2.994, 0.397, 2.237]","['B_2705', 'DQA1_0301', 'DQB1_0604', 'DRB1_0103', 'DRB1_0401', 'DRB1_1302']",0
Benign neoplasm of thyroid glands,11,6,"[0.009939, 0.01683]","[1.968, 0.551]","['A_0201', 'DPB1_0401']",0
Benign neoplasm of uterus,9,9,"[0.0137, 0.001714, 0.01122, 0.04649, 0.01542, 0.04654, 0.005361, 0.0154]","[1.446, 0.3, 1.613, 0.613, 0.473, 0.634, 1.729, 1.56]","['A_2402', 'A_2902', 'B_2705', 'B_4403', 'C_1601', 'DPB1_0101', 'DQB1_0604', 'DRB1_1302']",0
Bipolar,10,8,"[0.02292, 0.008226, 0.03135, 0.003289, 0.03114]","[0.757, 1.431, 0.285, 2.064, 1.547]","['A_0301', 'A_1101', 'B_3801', 'B_3901', 'DPB1_0601']",0
Cancer of bronchus; lung,11,6,"[0.0295, 0.04488, 0.01564, 0.02344, 0.02442]","[0.798, 0.767, 0.819, 0.799, 0.836]","['B_3501', 'C_0102', 'C_0401', 'DQB1_0603', 'DRB1_0101']",0
Cancer of connective tissue,11,6,"[0.02903, 0.04367]","[1.681, 0.787]","['B_3701', 'C_0702']",0
"Cancer of other lymphoid, histiocytic tissue",11,6,[0.01668],[1.199],['B_0801'],0
Cancer of other male genital organs,9,5,"[0.01983, 0.03876, 0.01624]","[1.674, 0.227, 1.736]","['DQA1_0102', 'DQB1_0303', 'DRB1_1501']",0
Cancer of prostate,11,6,"[0.008931, 0.03229, 0.0391]","[1.555, 0.812, 1.425]","['A_3001', 'B_3501', 'B_3801']",0
Cancer within the respiratory system,11,6,"[0.03206, 0.03383, 0.02067, 0.03371, 0.01942, 0.01338]","[0.802, 0.755, 0.828, 0.856, 0.794, 0.821]","['B_3501', 'C_0102', 'C_0401', 'DQB1_0501', 'DQB1_0603', 'DRB1_0101']",0
Carbuncle and furuncle,9,10,"[0.02958, 0.02533]","[0.278, 1.695]","['C_0303', 'DPB1_0301']",0
Carcinoid syndrome,12,11,"[0.0483, 0.005722, 0.04026, 0.02243, 0.005364]","[0.137, 3.049, 0.477, 2.51, 2.107]","['B_3501', 'B_5501', 'DPA1_0201', 'DQB1_0503', 'DRB1_0401']",0
Cardiomegaly,9,9,"[0.01379, 0.003785, 0.003561, 0.04899, 0.02816, 0.04905, 0.03015, 0.004106, 0.04266]","[0.883, 1.308, 1.285, 0.837, 1.23, 0.816, 0.753, 1.272, 0.717]","['A_0201', 'A_3201', 'B_2705', 'B_4403', 'C_0102', 'C_1601', 'DQB1_0503', 'DRB1_1302', 'DRB1_1401']",0
Carditis,9,9,"[0.01139, 0.0413, 0.01519, 0.004083, 0.04194, 0.03379, 0.04954, 5.82e-05]","[1.314, 1.458, 0.627, 1.518, 1.584, 1.223, 0.73, 1.664]","['A_2402', 'B_5501', 'C_0202', 'DQB1_0604', 'DRB1_0103', 'DRB1_0301', 'DRB1_1101', 'DRB1_1302']",0
Cellulitis and abscess of arm/hand,9,10,"[0.03484, 0.01011]","[0.547, 1.555]","['B_5101', 'DPB1_0101']",0
Cellulitis and abscess of fingers/toes,9,10,"[0.04015, 0.02016]","[1.893, 1.467]","['B_1401', 'DRB1_1101']",0
Cellulitis and abscess of trunk,9,10,"[0.03964, 0.04546, 0.01052, 0.01918]","[1.802, 1.235, 0.679, 1.319]","['B_1401', 'DQA1_0301', 'DRB1_0101', 'DRB1_0401']",0
"Cerebral degeneration, unspecified",12,7,"[0.004512, 0.04642, 0.009842, 0.00916, 0.03191, 0.02993]","[1.999, 1.66, 1.635, 1.612, 0.285, 0.371]","['B_5701', 'C_0202', 'C_0602', 'DQB1_0302', 'DQB1_0604', 'DRB1_1302']",0
Cholecystitis without cholelithiasis,13,10,"[0.006855, 0.02154, 0.0427]","[2.247, 1.629, 1.537]","['C_1402', 'DPA1_0202', 'DQB1_0604']",0
Cholelithiasis and cholecystitis,13,10,"[0.03575, 0.01629, 0.0418, 0.01302, 0.01871]","[0.722, 0.805, 1.287, 1.425, 1.325]","['A_6801', 'C_0501', 'DPA1_0202', 'DPB1_0501', 'DQB1_0604']",0
Cholelithiasis with acute cholecystitis,10,7,"[0.01679, 0.04173, 0.02204, 0.02022, 0.003629, 0.03006, 0.01935, 0.01409, 0.004163, 0.00958, 0.0215]","[2.505, 1.768, 2.12, 1.898, 2.221, 0.491, 0.296, 1.978, 2.855, 2.484, 1.894]","['A_3201', 'B_0702', 'B_4001', 'C_0702', 'DQA1_0102', 'DQA1_0301', 'DQB1_0302', 'DQB1_0602', 'DQB1_0604', 'DRB1_1302', 'DRB1_1501']",0
Chorioretinal scars,9,5,"[0.04168, 0.002887, 0.04039, 0.0208, 0.03237]","[1.827, 3.689, 1.79, 1.959, 1.862]","['A_0201', 'DPB1_1001', 'DQA1_0102', 'DQB1_0602', 'DRB1_1501']",0
Chronic thyroiditis,9,13,"[0.01006, 0.03775, 0.0432]","[1.657, 0.227, 0.357]","['B_0801', 'DQB1_0604', 'DRB1_1302']",0
Chronic ulcer of leg or foot,9,10,"[0.01537, 0.01884, 0.0338, 0.02588, 0.01078, 0.007489, 0.009419]","[0.742, 1.729, 0.777, 0.785, 1.338, 0.714, 0.725]","['B_0702', 'B_3701', 'C_0702', 'DQA1_0102', 'DQB1_0302', 'DQB1_0602', 'DRB1_1501']",0
Chronic ulcer of skin,9,10,[0.04861],[1.355],['DPB1_1001'],0
Circulatory disease NEC,11,12,"[0.02908, 8.718e-06, 0.03298, 0.01516, 0.01785, 0.0255, 0.04088, 0.0448]","[0.279, 2.864, 1.323, 1.433, 1.286, 1.309, 1.515, 1.275]","['B_3801', 'B_4002', 'C_0304', 'DPB1_0101', 'DQA1_0301', 'DQB1_0302', 'DQB1_0402', 'DRB1_0401']",0
Coagulation defects,9,11,"[0.03517, 0.0467, 0.0139, 0.04489, 0.04495, 0.04445, 0.04948, 0.03255]","[0.848, 1.205, 1.254, 1.185, 1.206, 1.209, 1.115, 0.721]","['A_2402', 'A_2902', 'B_2705', 'B_4403', 'C_0202', 'C_1601', 'DQA1_0102', 'DRB1_1104']",0
Complications of transplants and reattached limbs,10,4,"[0.02477, 0.02272, 0.02366, 0.04237, 0.04981, 0.02181, 0.005009, 0.0005974, 0.007527, 0.02999]","[0.681, 1.323, 0.444, 0.707, 1.212, 1.249, 1.344, 1.447, 1.327, 0.408]","['A_1101', 'A_2402', 'B_5501', 'DQA1_0103', 'DQA1_0301', 'DQA1_0501', 'DQB1_0201', 'DQB1_0302', 'DRB1_0301', 'DRB1_1401']",0
Congenital factor VIII disorder,9,5,"[0.01471, 0.03182, 0.007118]","[2.097, 1.954, 2.284]","['DQA1_0102', 'DQB1_0602', 'DRB1_1501']",0
Cutaneous lupus erythematosus,9,10,"[0.01937, 0.04885, 0.04507, 0.01686, 0.0433, 0.03847, 0.04905]","[1.864, 0.364, 0.493, 0.548, 1.589, 1.607, 0.529]","['A_1101', 'C_0303', 'C_0501', 'DQA1_0301', 'DQB1_0201', 'DRB1_0301', 'DRB1_0401']",0
Cystic mastopathy,8,5,"[0.0453, 0.008723, 0.008021, 0.04316, 0.04358]","[1.239, 1.759, 1.738, 1.2, 1.556]","['A_2402', 'A_3001', 'B_3801', 'DPA1_0201', 'DPB1_1401']",0
Decreased white blood cell count,9,11,"[0.03032, 0.0277]","[1.267, 0.854]","['A_3101', 'DPB1_0301']",0
Decubitus ulcer,9,10,"[0.04557, 0.03283, 0.01562]","[1.55, 0.802, 1.26]","['B_3801', 'DPB1_0201', 'DPB1_0301']",0
Deficiency anemias,9,11,[0.03188],[1.633],['A_1101'],0
Degeneration of macula and posterior pole of retina,12,7,"[0.03676, 0.03144, 0.02104, 0.01979, 0.0214, 0.02325, 0.0444]","[0.753, 1.322, 1.237, 1.204, 0.695, 0.812, 1.187]","['B_4403', 'B_5701', 'C_0602', 'C_0701', 'C_1601', 'DPB1_0201', 'DRB1_0301']",0
Degenerative skin conditions and other dermatoses,9,10,"[0.02529, 0.03151, 0.006095, 0.01229, 0.0452, 0.01286, 0.04192]","[1.133, 1.223, 0.793, 0.673, 0.814, 1.36, 0.775]","['A_2402', 'A_2601', 'C_1601', 'DPB1_1701', 'DQB1_0402', 'DRB1_0407', 'DRB1_1401']",0
Delirium dementia and amnestic and other cognitive disorders,10,8,"[0.03031, 0.02585, 0.01301]","[0.773, 1.321, 0.716]","['B_3501', 'C_0102', 'DRB1_0404']",0
Dementias,10,8,"[0.04866, 0.02409, 0.0212, 0.006757]","[1.408, 0.715, 1.418, 0.628]","['A_2601', 'B_3501', 'C_0102', 'DRB1_0404']",0
Dental caries,8,10,"[0.003192, 0.04341, 0.03427, 0.01259, 0.007681, 0.003206, 0.02436, 0.009004, 0.04734, 0.02912]","[0.719, 1.265, 0.549, 0.647, 0.15, 1.568, 0.621, 1.312, 0.593, 0.512]","['A_0301', 'A_2402', 'A_2601', 'B_3501', 'B_3801', 'C_0102', 'C_1203', 'DPB1_0301', 'DQB1_0402', 'DRB1_0801']",0
Dermatochalasis,12,6,[0.01051],[1.784],['B_5501'],0
Develomental delays and disorders,10,8,"[0.02552, 0.02871]","[0.631, 1.541]","['A_6801', 'DPB1_1001']",0
Diabetes mellitus,9,12,"[0.004092, 0.001971, 0.001789, 0.0008773, 0.03656, 0.04467, 0.01731, 0.002027, 0.04292, 0.002683, 0.005282, 0.0077, 0.03033, 0.03587, 0.005094, 0.004711, 0.01254, 5.555e-05, 0.0016, 1.7e-05, 0.01353, 7.952e-08, 7.085e-07, 1.71e-11, 4.989e-05, 0.0003364, 1.404e-07, 1.66e-06, 0.001495, 0.0405, 0.005955, 2.101e-05]","[0.789, 0.889, 0.776, 1.17, 0.806, 0.798, 1.157, 1.143, 1.089, 0.894, 0.826, 0.841, 0.768, 1.08, 1.153, 0.891, 0.807, 0.87, 0.847, 1.156, 1.086, 1.221, 0.839, 1.298, 0.856, 0.827, 1.217, 1.205, 0.684, 0.891, 0.86, 0.851]","['A_2601', 'B_0702', 'B_1402', 'B_1501', 'B_3701', 'B_3801', 'B_5701', 'C_0304', 'C_0602', 'C_0702', 'C_0802', 'C_1203', 'C_1402', 'DPA1_0201', 'DPB1_0101', 'DPB1_0402', 'DPB1_0501', 'DQA1_0102', 'DQA1_0103', 'DQA1_0301', 'DQA1_0501', 'DQB1_0201', 'DQB1_0301', 'DQB1_0302', 'DQB1_0602', 'DQB1_0603', 'DRB1_0301', 'DRB1_0401', 'DRB1_0407', 'DRB1_1101', 'DRB1_1301', 'DRB1_1501']",0
Diabetes or abnormal glucose tolerance complicating pregnancy,8,11,"[0.001698, 0.02592, 0.0008613]","[1.919, 0.32, 3.493]","['DRB1_0401', 'DRB1_1101', 'DRB1_1201']",0
Diaper or napkin rash,7,11,"[0.007823, 0.02958, 0.006067]","[3.666, 1.908, 3.822]","['B_3901', 'DRB1_0101', 'DRB1_0901']",0
Diseases of hard tissues of teeth,8,10,"[0.003474, 0.04093, 0.02508, 0.01548, 0.0224, 0.006582, 0.006414, 0.04245, 0.02364, 0.01503, 0.03745]","[0.725, 1.264, 0.531, 1.806, 0.682, 0.145, 1.515, 1.211, 0.626, 1.284, 0.543]","['A_0301', 'A_2402', 'A_2601', 'B_1401', 'B_3501', 'B_3801', 'C_0102', 'C_0701', 'C_1203', 'DPB1_0301', 'DRB1_0801']",0
"Diseases of nail, NOS",9,10,[0.04398],[0.657],['DQB1_0301'],0
Diseases of sebaceous glands,9,10,"[0.001309, 0.04459, 0.005517, 0.009039, 0.0136, 0.03991, 0.02367, 0.03643, 0.03768, 0.04402, 0.04164]","[1.484, 0.808, 0.503, 1.516, 1.242, 0.81, 1.193, 1.246, 0.863, 1.164, 0.857]","['A_2601', 'B_3501', 'B_3701', 'B_3801', 'B_4001', 'C_0303', 'C_0304', 'C_1203', 'DQA1_0101', 'DQB1_0202', 'DQB1_0501']",0
Diseases of white blood cells,9,11,"[0.04372, 0.0473, 0.02183]","[1.241, 1.124, 0.83]","['DPB1_0601', 'DRB1_0101', 'DRB1_1301']",0
Disorder of skin and subcutaneous tissue NOS,9,10,"[0.02664, 0.01646, 0.04503]","[1.457, 0.182, 0.71]","['A_6801', 'DPB1_1701', 'DQB1_0603']",0
Disorders involving the immune mechanism,10,9,"[0.01659, 0.01997, 0.04429, 0.03046, 0.01258, 0.04607, 0.04402, 0.04381, 0.03831, 0.01065, 0.03169]","[0.445, 0.434, 1.202, 0.717, 1.506, 0.809, 0.715, 0.845, 1.355, 1.465, 0.484]","['B_3503', 'B_3801', 'B_4402', 'B_5101', 'B_5501', 'C_0401', 'C_1203', 'DPA1_0103', 'DQA1_0401', 'DQB1_0402', 'DRB1_1201']",0
Disorders of amino-acid metabolism,9,13,[0.006976],[2.31],['DQB1_0302'],0
Disorders of diaphragm,11,5,"[0.04771, 0.04277, 0.04394, 0.04066]","[1.601, 1.944, 2.235, 0.561]","['A_0201', 'B_2705', 'DPB1_0601', 'DQB1_0301']",0
Disorders of esophageal motility,9,8,"[0.01803, 0.02457, 0.03522, 0.02998, 0.02645, 0.04921]","[1.887, 2.232, 1.941, 0.537, 2.303, 2.505]","['A_1101', 'B_1402', 'B_2705', 'C_0701', 'DPB1_0501', 'DPB1_1401']",0
Disorders of mineral metabolism,9,13,"[0.04748, 0.006727, 0.009641, 0.007611, 0.01103, 0.003534]","[1.113, 1.185, 0.718, 1.44, 1.318, 0.609]","['A_0301', 'C_0304', 'DQB1_0503', 'DRB1_0103', 'DRB1_0801', 'DRB1_1401']",0
Disorders of parathyroid gland,9,13,[0.01454],[0.581],['DPB1_0101'],0
Dysthymic disorder,10,8,"[0.01512, 0.04079, 0.04927, 0.03495, 0.04656, 0.02454]","[1.744, 1.233, 1.224, 1.354, 1.211, 0.82]","['B_3901', 'B_4402', 'C_0501', 'C_1203', 'DPB1_0201', 'DPB1_0401']",0
Elevated carcinoembryonic antigen [CEA],9,5,"[0.001297, 0.04203, 0.0009929, 0.03734, 0.002023, 0.03746, 0.0009669]","[2.811, 0.393, 1.937, 0.384, 1.89, 0.346, 1.964]","['A_2501', 'B_4001', 'DQA1_0102', 'DQA1_0103', 'DQB1_0602', 'DRB1_1301', 'DRB1_1501']",0
Elevated white blood cell count,9,11,[0.03636],[1.192],['A_1101'],0
