phewas_string,x,y,p_values,odds_ratios,snps,cluster
ASCVD,4,3,"[0.0399, 0.02842, 0.02721, 0.01938, 0.02308, 0.01588, 0.03763]","[1.761, 1.606, 1.46, 1.429, 1.777, 1.395, 0.765]","['A_2301', 'A_3201', 'B_4001', 'C_0304', 'C_1502', 'DPB1_0201', 'DPB1_0401']",2
Abnormal Papanicolaou smear of cervix and cervical HPV,0,3,"[0.02709, 0.04436, 0.03125, 0.02388, 0.03885, 0.008602, 0.0318, 0.009619]","[1.293, 0.724, 0.772, 1.232, 0.725, 1.408, 0.378, 1.289]","['A_2402', 'DPB1_0101', 'DPB1_0402', 'DQA1_0102', 'DQA1_0103', 'DRB1_1101', 'DRB1_1201', 'DRB1_1501']",2
Abnormal electrocardiogram [ECG] [EKG],3,4,"[0.01753, 0.03209, 0.01421, 0.03181, 0.01463, 0.02434, 0.01159, 0.04345, 0.04429]","[0.815, 0.586, 1.453, 1.326, 1.34, 0.742, 0.673, 1.187, 1.193]","['A_0301', 'A_2301', 'A_2501', 'A_6801', 'B_2705', 'B_4403', 'C_1601', 'DQB1_0302', 'DRB1_0101']",2
Abnormal involuntary movements,1,5,"[0.04489, 0.01545, 0.0365, 0.006266, 0.03633, 0.03097, 0.04303]","[1.458, 0.491, 0.801, 0.725, 1.227, 0.765, 1.598]","['A_2501', 'A_2601', 'DQA1_0101', 'DQB1_0501', 'DQB1_0602', 'DRB1_0101', 'DRB1_1201']",2
Abnormal results of function study of thyroid,3,3,"[0.008909, 0.01666, 0.001409, 0.04607]","[2.261, 2.581, 3.549, 2.517]","['A_6801', 'C_0704', 'DPB1_1701', 'DRB1_0103']",2
Abnormal weight gain,2,5,"[0.005494, 0.03745, 0.0378, 0.01558, 0.0314]","[1.53, 1.826, 0.743, 0.658, 1.857]","['A_1101', 'B_3801', 'DQA1_0101', 'DRB1_0101', 'DRB1_0103']",2
Acid-base balance disorder,2,5,"[0.01668, 0.00866, 0.02649, 0.02254]","[1.243, 0.744, 1.505, 0.827]","['A_1101', 'C_0303', 'C_1402', 'DPB1_0402']",2
Acne,1,3,"[0.04658, 0.03903, 0.01481, 0.04867, 0.04895, 0.01965, 0.02139, 0.02392]","[1.598, 1.857, 1.752, 0.72, 0.511, 0.69, 1.579, 1.466]","['A_2601', 'A_3001', 'B_1302', 'C_0501', 'DQA1_0401', 'DQB1_0501', 'DQB1_0604', 'DRB1_1101']",2
Acute cystitis,2,2,"[0.002385, 0.001649, 0.03657, 0.02416, 0.04922]","[3.84, 5.307, 2.381, 3.312, 0.356]","['A_2501', 'B_1401', 'B_1801', 'B_3503', 'DQB1_0501']",2
Acute gastritis,4,5,"[0.03793, 0.0179, 0.04215]","[1.874, 2.003, 0.346]","['A_0201', 'A_0301', 'DPB1_0301']",2
